Frame,Class,Confidence,X1,Y1,X2,Y2
191,antenna,0.54,260,150,287,231
191,antenna,0.38,339,189,360,252
192,antenna,0.55,192,132,228,200
192,antenna,0.52,259,150,287,231
192,antenna,0.35,338,189,360,252
193,antenna,0.55,192,132,229,199
193,antenna,0.52,259,150,286,231
193,antenna,0.35,338,189,360,253
194,antenna,0.56,193,134,228,199
194,antenna,0.53,259,149,286,231
194,antenna,0.37,337,189,360,253
195,antenna,0.53,193,130,230,198
195,antenna,0.51,260,149,285,230
195,antenna,0.35,337,189,359,253
196,antenna,0.55,193,128,230,199
196,antenna,0.52,259,148,285,230
196,antenna,0.35,336,189,359,253
197,antenna,0.56,193,130,230,198
197,antenna,0.53,259,148,285,230
197,antenna,0.37,336,189,358,252
198,antenna,0.55,193,128,230,199
198,antenna,0.53,259,147,285,230
198,antenna,0.37,336,189,358,253
199,antenna,0.53,259,147,285,230
199,antenna,0.53,193,127,229,198
199,antenna,0.37,336,189,358,253
199,antenna,0.30,361,176,382,241
200,antenna,0.54,259,147,284,230
200,antenna,0.53,193,128,229,198
200,antenna,0.38,336,189,357,252
200,antenna,0.32,361,176,381,241
201,antenna,0.53,259,147,284,230
201,antenna,0.51,193,125,230,198
201,antenna,0.37,335,189,357,253
201,antenna,0.30,361,176,381,241
202,antenna,0.52,259,147,284,230
202,antenna,0.49,193,126,230,197
202,antenna,0.38,336,189,356,253
202,antenna,0.30,361,176,381,240
203,antenna,0.53,259,146,283,230
203,antenna,0.52,194,130,228,197
203,antenna,0.39,335,189,355,253
204,antenna,0.52,259,146,283,230
204,antenna,0.50,194,128,228,197
204,antenna,0.39,335,189,356,253
205,antenna,0.52,259,146,283,230
205,antenna,0.51,194,128,228,197
205,antenna,0.39,335,189,356,254
206,antenna,0.53,259,146,283,229
206,antenna,0.53,194,130,228,197
206,antenna,0.41,335,190,355,255
207,antenna,0.52,259,146,283,229
207,antenna,0.51,194,128,228,197
207,antenna,0.40,334,190,356,255
208,antenna,0.51,258,145,283,229
208,antenna,0.51,194,127,229,197
208,antenna,0.41,333,191,356,256
209,antenna,0.54,194,126,229,197
209,antenna,0.52,258,145,283,229
209,antenna,0.43,333,191,354,256
210,antenna,0.53,193,124,230,196
210,antenna,0.51,258,145,283,229
210,antenna,0.42,333,191,354,256
211,antenna,0.53,194,127,230,196
211,antenna,0.51,257,145,283,229
211,antenna,0.41,332,191,354,256
212,antenna,0.56,194,128,230,196
212,antenna,0.52,257,145,283,229
212,antenna,0.42,332,191,353,255
213,antenna,0.56,194,127,230,196
213,antenna,0.53,257,145,284,229
213,antenna,0.42,332,191,353,255
214,antenna,0.54,194,127,229,196
214,antenna,0.53,257,144,284,228
214,antenna,0.43,332,190,353,255
215,antenna,0.55,257,144,284,228
215,antenna,0.55,194,126,229,197
215,antenna,0.45,332,191,352,256
216,antenna,0.54,194,125,230,198
216,antenna,0.53,256,143,284,228
216,antenna,0.42,332,191,352,256
217,antenna,0.55,194,123,230,197
217,antenna,0.52,256,142,284,228
217,antenna,0.41,331,191,352,255
218,antenna,0.55,194,123,230,197
218,antenna,0.54,256,142,284,227
218,antenna,0.42,331,191,352,255
219,antenna,0.54,194,122,232,194
219,antenna,0.52,255,141,285,227
219,antenna,0.40,330,190,352,255
220,antenna,0.54,194,121,231,197
220,antenna,0.52,255,140,285,227
220,antenna,0.39,329,190,352,256
221,antenna,0.57,195,121,232,194
221,antenna,0.54,255,140,285,227
221,antenna,0.41,329,189,351,256
222,antenna,0.56,195,121,232,194
222,antenna,0.53,254,138,286,227
222,antenna,0.34,328,189,352,257
223,antenna,0.57,194,121,232,194
223,antenna,0.53,254,137,286,227
223,antenna,0.35,273,85,306,154
223,antenna,0.32,328,189,351,256
224,antenna,0.57,195,120,231,194
224,antenna,0.55,253,137,285,226
224,antenna,0.37,328,189,349,255
224,antenna,0.33,274,85,305,153
225,antenna,0.56,194,120,231,194
225,antenna,0.54,253,136,285,226
225,antenna,0.37,274,85,307,155
225,antenna,0.35,328,188,349,255
226,antenna,0.60,194,119,231,193
226,antenna,0.57,253,136,285,225
226,antenna,0.40,328,188,349,255
226,antenna,0.33,275,84,306,154
227,antenna,0.60,194,118,231,193
227,antenna,0.55,253,136,283,225
227,antenna,0.38,327,188,348,255
227,antenna,0.32,274,84,305,155
228,antenna,0.60,194,118,231,192
228,antenna,0.55,252,135,283,224
228,antenna,0.40,327,189,347,255
228,antenna,0.34,274,83,305,155
229,antenna,0.60,195,119,231,191
229,antenna,0.57,252,135,282,223
229,antenna,0.42,326,189,347,255
230,antenna,0.57,195,117,231,191
230,antenna,0.56,252,134,282,222
230,antenna,0.39,326,189,347,257
231,antenna,0.56,195,117,231,189
231,antenna,0.56,252,134,282,222
231,antenna,0.41,326,189,347,256
232,antenna,0.58,252,134,282,222
232,antenna,0.58,197,117,233,185
232,antenna,0.48,326,188,347,256
233,antenna,0.57,252,134,281,221
233,antenna,0.57,197,115,233,186
233,antenna,0.50,326,189,346,256
234,antenna,0.61,197,115,233,185
234,antenna,0.57,252,133,281,221
234,antenna,0.52,325,189,346,256
234,antenna,0.35,275,82,304,150
235,antenna,0.64,197,116,232,185
235,antenna,0.58,252,133,280,221
235,antenna,0.54,325,189,345,256
235,antenna,0.31,276,83,303,149
236,antenna,0.62,197,114,233,186
236,antenna,0.56,252,133,280,221
236,antenna,0.53,325,189,345,257
236,antenna,0.33,276,83,304,150
237,antenna,0.62,197,113,234,185
237,antenna,0.55,252,132,280,221
237,antenna,0.53,324,189,345,257
237,antenna,0.30,276,83,304,150
238,antenna,0.62,197,115,234,185
238,antenna,0.56,252,132,280,220
238,antenna,0.53,324,189,344,256
239,antenna,0.60,197,111,235,186
239,antenna,0.56,252,131,280,220
239,antenna,0.51,324,189,344,257
240,antenna,0.60,197,112,236,186
240,antenna,0.56,252,132,280,220
240,antenna,0.51,323,189,344,257
240,antenna,0.32,277,82,305,151
241,antenna,0.60,198,115,235,185
241,antenna,0.58,252,132,281,220
241,antenna,0.53,323,189,343,256
241,antenna,0.32,278,83,305,148
242,antenna,0.59,198,115,236,185
242,antenna,0.57,252,132,281,220
242,antenna,0.51,322,188,343,257
242,antenna,0.33,277,83,306,152
243,antenna,0.61,198,110,236,185
243,antenna,0.57,251,132,281,220
243,antenna,0.50,321,189,343,257
244,antenna,0.63,198,111,236,184
244,antenna,0.57,251,132,281,220
244,antenna,0.52,321,189,343,257
245,antenna,0.62,198,109,236,184
245,antenna,0.56,251,133,281,220
245,antenna,0.50,320,189,343,257
246,antenna,0.63,198,109,236,184
246,antenna,0.56,251,133,281,220
246,antenna,0.49,320,189,342,258
247,antenna,0.64,199,111,235,183
247,antenna,0.57,251,133,280,220
247,antenna,0.50,320,189,341,258
248,antenna,0.63,199,111,236,183
248,antenna,0.57,251,133,281,221
248,antenna,0.46,320,188,342,260
249,antenna,0.63,200,111,236,183
249,antenna,0.57,251,133,280,220
249,antenna,0.50,319,188,341,259
250,antenna,0.63,200,111,235,182
250,antenna,0.58,251,133,280,221
250,antenna,0.52,319,189,340,259
251,antenna,0.63,200,111,236,183
251,antenna,0.57,251,133,280,221
251,antenna,0.50,319,189,339,260
252,antenna,0.62,201,111,235,182
252,antenna,0.57,251,134,280,221
252,antenna,0.50,319,189,339,260
253,antenna,0.63,201,111,235,182
253,antenna,0.57,251,134,280,221
253,antenna,0.54,319,190,339,259
254,antenna,0.63,201,111,235,182
254,antenna,0.57,251,134,280,221
254,antenna,0.53,318,190,339,260
254,antenna,0.30,281,84,309,152
255,antenna,0.63,201,110,235,182
255,antenna,0.57,251,133,280,220
255,antenna,0.54,318,190,338,261
256,antenna,0.63,201,110,234,181
256,antenna,0.58,251,133,279,220
256,antenna,0.56,317,191,337,260
257,antenna,0.62,201,110,235,181
257,antenna,0.56,251,132,279,221
257,antenna,0.53,317,191,337,261
258,antenna,0.63,201,110,235,181
258,antenna,0.55,251,132,279,221
258,antenna,0.52,316,191,337,261
259,antenna,0.63,202,110,235,180
259,antenna,0.56,251,132,279,221
259,antenna,0.54,317,191,337,261
260,antenna,0.62,202,110,235,180
260,antenna,0.55,250,131,279,221
